customer_id,first_name,last_name,email,phone,address_line_1,city,postcode,date_of_birth,licence_years,created_at,updated_at
9411f5fb-2bfb-4a45-b81c-7f8c1d1335ea,Francis,Davidson,jenningshenry@example.org,01154960819,"Flat 0
Charlie fort",Manchester,RU18 1AW,2001-05-13,8,2016-04-01 00:47:00,2016-04-01 00:47:00
2d4aa1a7-6ca4-4c82-828a-1d02144760cc,Gerald,Patterson,francescaharrison@example.com,+44(0)1184960026,"Flat 23W
Warner light",London,DL12 3QY,2004-09-16,5,2021-02-11 02:37:00,2021-02-11 02:37:00
9add4c54-786f-4c79-9b99-d1c8a54d74bc,Gemma,Ferguson,samuel78@example.org,(0121) 496 0959,103 Robinson walk,Belfast,HD84 8RL,1964-11-14,45,2020-08-31 19:01:00,2020-08-31 19:01:00
583c0304-7f3b-48f3-a882-5a22c921f386,Lauren,Evans,xwoods@example.org,(029) 2018 0419,327 Dixon route,Derby,XS1 2JP,1981-08-20,28,2017-06-21 14:37:00,2017-06-21 14:37:00
28127846-0b1d-458a-84a8-b864298dc843,Joanne,Phillips,wilsonryan@example.com,+44117 496 0953,"Studio 7
Arthur dam",Portsmouth,HY44 1WW,1981-11-30,28,2018-10-25 08:09:00,2018-10-25 08:09:00
6bb22cb3-d93d-4883-8007-1b5607fee93b,Linda,Lloyd,fiona69@example.com,+44(0)1154960871,2 Gail manors,Coventry,UC34 0RR,1952-04-27,50,2019-04-06 03:22:00,2019-04-06 03:22:00
5223601a-0622-4464-b182-5e80ac6ddfd5,Gail,Atkinson,jhill@example.org,+4429 2018 0845,62 Harper stravenue,Leicester,YI38 9VG,1985-03-20,24,2021-01-05 03:59:00,2021-01-05 03:59:00
f70fc17a-d5be-46e1-9c53-47f410d18392,Kathleen,John,taylorjoel@example.net,(0116) 496 0528,570 Linda wells,Derby,JH30 1BJ,1976-06-11,33,2021-06-22 06:45:00,2022-10-31 09:05:00
eb0932ca-f1f9-4561-bffe-80536f083bd4,Stacey,Miller,cunninghamdanielle@example.org,+441154960782,"Studio 96
Sheila throughway",Birmingham,YX48 5HN,1978-02-06,31,2018-02-12 14:40:00,2018-02-12 14:40:00
69d8ec1e-e50d-4631-970a-5f5b5adfd54c,Jennifer,Lyons,pturner@example.com,+44151 4960133,09 Joan forges,Bradford,AC10 9ZB,1962-10-18,47,2022-07-08 08:44:00,2022-07-08 08:44:00
3556cb5d-f910-4c55-a0c0-70a66c069494,Steven,Lewis,josephhowe@example.com,+44(0)1184960738,997 Elaine valley,Sheffield,NG49 4EE,2000-12-18,9,2016-12-01 17:46:00,2016-12-01 17:46:00
7da72ac3-b685-424d-8269-298ec41c109e,Alexander,Davies,anixon@example.com,+44(0)28 9018 0106,"Flat 3
Karl plain",Milton Keynes,OE99 0SG,2001-06-01,8,2022-09-19 17:14:00,2022-09-19 17:14:00
2b1ffb9a-ee10-4b87-b93b-f372c962ae55,Georgina,Gibson,bethany31@example.com,+44(0)28 9018801,6 Jones way,Manchester,MB73 5GR,1964-07-19,45,2015-05-12 10:25:00,2015-05-12 10:25:00
d7c82244-4b9f-4db1-9bee-89a559db625f,Mitchell,Davison,robinsonarthur@example.com,+441632 960872,30 Terry centers,Bradford,BT59 2UV,1963-01-28,46,2022-05-08 15:25:00,2022-05-08 15:25:00
ba442ede-cf0b-489e-aa96-7d8ebc13e09f,Christian,Rees,kevinhunt@example.org,(0114)4960361,909 Samantha shoals,Leeds,TT96 9VP,1967-10-06,42,2016-07-25 07:47:00,2016-07-25 07:47:00
351d0b49-4cab-4e18-9740-94cf7e545dc0,Hannah,Clarke,dennis53@example.com,+44(0)28 9018 0475,7 Liam plain,Birmingham,GR66 7LF,1982-06-08,27,2021-07-18 12:23:00,2021-07-18 12:23:00
0e8f2c7c-ac97-47f1-8c30-70ec516553dd,Charles,Williams,brian35@example.com,+44191 4960498,841 Arthur crescent,Reading,DY88 6WF,1952-02-26,50,2015-07-12 03:09:00,2015-07-12 03:09:00
abad65c5-786c-4cd3-83c9-18ef46a366ea,Glenn,Martin,lawrence93@example.net,+4428 9018 0487,"Flat 1
Norton cape",Sheffield,AK68 4FZ,1997-07-04,12,2015-09-18 12:24:00,2015-09-18 12:24:00
